age, gender, art, degree, artisturi, answer
25,m,nein,h,http://dbpedia.org/resource/Frederic_Edwin_Church,1
25,m,nein,h,http://dbpedia.org/resource/Parmigianino,0
25,m,nein,h,http://dbpedia.org/resource/Georg_Friedrich_Kersting,0
25,m,nein,h,http://dbpedia.org/resource/Gerard_ter_Borch,0
25,m,nein,h,http://dbpedia.org/resource/William_Holman_Hunt,1
25,m,nein,h,http://dbpedia.org/resource/Fr%C3%A9d%C3%A9ric_Bazille,0
25,m,nein,h,http://dbpedia.org/resource/Francisco_de_Zurbar%C3%A1n,0
25,m,nein,h,http://dbpedia.org/resource/Maxfield_Parrish,0
25,m,nein,h,http://dbpedia.org/resource/William_Hogarth,1
25,m,nein,h,http://dbpedia.org/resource/Kazimir_Malevich,0
25,m,nein,h,http://dbpedia.org/resource/Tom_Thomson,0
25,m,nein,h,http://dbpedia.org/resource/Marcel_Duchamp,0
25,m,nein,h,http://dbpedia.org/resource/Jacques-Louis_David,1
25,m,nein,h,http://dbpedia.org/resource/E._Phillips_Fox,0
25,m,nein,h,http://dbpedia.org/resource/Vincent_van_Gogh,1
